r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)  drho/dr (kg/m^4)   dn_e/dr (fm^{-3}/m)
11.7326   9.79391001e+31   1.39578147   4.23968634e+13   -0.659476851   1.54165684   0.0251741459   1031.3059   213.140956   40   39.9930311   0.000976398793   0.0199712114   947.279183   -3.31679607e+14   -5.96248762e-06
11.73385   9.68414445e+31   1.39582735   4.19841436e+13   -0.659495894   1.54159534   0.0249296823   1029.12355   212.773098   40   39.9931733   0.000968967521   0.0197752614   947.251228   -3.28678494e+14   -5.92747661e-06
11.7351   9.57547309e+31   1.39587279   4.15751671e+13   -0.659514933   1.54153358   0.0246874281   1026.95254   212.405037   40   39.9933106   0.000961580102   0.0195811559   947.223296   -3.25690818e+14   -5.89232663e-06
11.73635   9.46788575e+31   1.39591781   4.11699166e+13   -0.659533969   1.54147159   0.0244473734   1024.79283   212.036857   40   39.9934433   0.000954236704   0.0193888832   947.195388   -3.22717351e+14   -5.85704684e-06
11.7376   9.36137231e+31   1.39596239   4.07683738e+13   -0.659553   1.54140936   0.0242095074   1022.64438   211.668638   40   39.9935715   0.000946937485   0.0191984311   947.167504   -3.19758892e+14   -5.82164768e-06
11.73885   9.2559227e+31   1.39600654   4.03705194e+13   -0.659572028   1.54134689   0.0239738189   1020.50711   211.300453   40   39.9936954   0.000939682585   0.0190097869   947.139645   -3.16816198e+14   -5.78613959e-06
11.7401   9.15152691e+31   1.39605028   3.99763333e+13   -0.659591052   1.54128419   0.0237402961   1018.38094   210.932376   40   39.9938152   0.000932472136   0.0188229379   947.111811   -3.1388995e+14   -5.75053242e-06
11.74135   9.04817498e+31   1.3960936   3.95857945e+13   -0.659610072   1.54122126   0.0235089268   1016.26577   210.564473   40   39.993931   0.000925306254   0.0186378708   947.084004   -3.10980793e+14   -5.71483607e-06
11.7426   8.94585703e+31   1.3961365   3.91988813e+13   -0.659629088   1.5411581   0.0232796981   1014.1615   210.19681   40   39.9940431   0.000918185045   0.0184545722   947.056223   -3.08089338e+14   -5.67906043e-06
11.74385   8.84456322e+31   1.39617899   3.88155711e+13   -0.659648101   1.54109471   0.023052597   1012.06802   209.829448   40   39.9941516   0.000911108603   0.0182730284   947.028469   -3.0521616e+14   -5.6432154e-06
11.7451   8.74428379e+31   1.39622108   3.84358409e+13   -0.659667109   1.5410311   0.0228276098   1009.9852   209.462444   40   39.9942567   0.000904077007   0.0180932255   947.000742   -3.02361798e+14   -5.60731085e-06
